Year,Risk_Free_Rate
07-01-2026,6.797
06-01-2026,6.753
05-01-2026,7.003
04-01-2026,7.018
03-01-2026,6.961
02-01-2026,6.661
01-01-2026,6.695
12-01-2025,6.588
11-01-2025,6.528
10-01-2025,6.529
09-01-2025,6.571
08-01-2025,6.588
07-01-2025,6.376
06-01-2025,6.316
05-01-2025,6.21
04-01-2025,6.352
03-01-2025,6.57
02-01-2025,6.72
01-01-2025,6.69
12-01-2024,6.76
11-01-2024,6.751
10-01-2024,6.841
09-01-2024,6.75
08-01-2024,6.863
07-01-2024,6.924
06-01-2024,7.008
05-01-2024,6.986
04-01-2024,7.195
03-01-2024,7.052
02-01-2024,7.078
01-01-2024,7.144
12-01-2023,7.176
11-01-2023,7.279
10-01-2023,7.351
09-01-2023,7.21
08-01-2023,7.166
07-01-2023,7.172
06-01-2023,7.11
05-01-2023,6.989
04-01-2023,7.116
03-01-2023,7.315
02-01-2023,7.457
01-01-2023,7.343
12-01-2022,7.327
11-01-2022,7.28
10-01-2022,7.445
09-01-2022,7.398
08-01-2022,7.188
07-01-2022,7.32
06-01-2022,7.45
05-01-2022,7.415
04-01-2022,7.139
03-01-2022,6.843
02-01-2022,6.77
01-01-2022,6.684
12-01-2021,6.454
11-01-2021,6.326
10-01-2021,6.388
09-01-2021,6.223
08-01-2021,6.215
07-01-2021,6.204
06-01-2021,6.051
05-01-2021,6.022
04-01-2021,6.03
03-01-2021,6.177
02-01-2021,6.229
01-01-2021,5.949
12-01-2020,5.894
11-01-2020,5.911
10-01-2020,5.881
09-01-2020,6.015
08-01-2020,6.078
07-01-2020,5.837
06-01-2020,5.888
05-01-2020,6.013
04-01-2020,6.11
03-01-2020,6.138
02-01-2020,6.371
01-01-2020,6.599
12-01-2019,6.554
11-01-2019,6.46
10-01-2019,6.643
09-01-2019,6.695
08-01-2019,6.556
07-01-2019,6.369
06-01-2019,6.879
05-01-2019,7.032
04-01-2019,7.414
03-01-2019,7.346
02-01-2019,7.591
01-01-2019,7.483
12-01-2018,7.37
11-01-2018,7.607
10-01-2018,7.853
09-01-2018,8.024
08-01-2018,7.951
07-01-2018,7.772
06-01-2018,7.903
05-01-2018,7.826
04-01-2018,7.767
03-01-2018,7.398
02-01-2018,7.726
01-01-2018,7.43
12-01-2017,7.326
11-01-2017,7.058
10-01-2017,6.862
09-01-2017,6.663
08-01-2017,6.525
07-01-2017,6.465
06-01-2017,6.511
05-01-2017,6.661
04-01-2017,6.961
03-01-2017,6.658
02-01-2017,6.87
01-01-2017,6.407
12-01-2016,6.512
11-01-2016,6.243
10-01-2016,6.885
09-01-2016,6.958
08-01-2016,7.11
07-01-2016,7.163
06-01-2016,7.448
05-01-2016,7.471
04-01-2016,7.435
03-01-2016,7.459
02-01-2016,7.623
01-01-2016,7.779
12-01-2015,7.758
11-01-2015,7.786
10-01-2015,7.64
09-01-2015,7.539
08-01-2015,7.784
07-01-2015,7.806
06-01-2015,7.861
05-01-2015,7.815
04-01-2015,7.86
03-01-2015,7.738
02-01-2015,7.724
01-01-2015,7.691
12-01-2014,7.855
11-01-2014,8.087
10-01-2014,8.278
09-01-2014,8.511
08-01-2014,8.559
07-01-2014,8.718
06-01-2014,8.744
05-01-2014,8.645
04-01-2014,8.828
03-01-2014,8.804
02-01-2014,8.862
01-01-2014,8.77
12-01-2013,8.82
11-01-2013,9.044
10-01-2013,8.625
09-01-2013,8.766
08-01-2013,8.596
07-01-2013,8.172
06-01-2013,7.439
05-01-2013,7.443
04-01-2013,7.731
03-01-2013,7.951
02-01-2013,7.872
01-01-2013,7.912
12-01-2012,8.049
11-01-2012,8.175
10-01-2012,8.215
09-01-2012,8.149
08-01-2012,8.241
07-01-2012,8.245
06-01-2012,8.38
05-01-2012,8.377
04-01-2012,8.671
03-01-2012,8.572
02-01-2012,8.199
01-01-2012,8.267
12-01-2011,8.56
11-01-2011,8.738
10-01-2011,8.879
09-01-2011,8.442
08-01-2011,8.319
07-01-2011,8.454
06-01-2011,8.326
05-01-2011,8.411
04-01-2011,8.135
03-01-2011,7.985
02-01-2011,7.992
01-01-2011,8.148
12-01-2010,7.913
11-01-2010,8.066
10-01-2010,8.121
09-01-2010,7.852
08-01-2010,7.936
07-01-2010,7.803
06-01-2010,7.561
05-01-2010,7.564
04-01-2010,8.061
03-01-2010,7.85
02-01-2010,7.864
01-01-2010,7.591
12-01-2009,7.679
11-01-2009,7.257
10-01-2009,7.306
09-01-2009,7.215
08-01-2009,7.434
07-01-2009,6.998
06-01-2009,7.013
05-01-2009,6.71
04-01-2009,6.242
03-01-2009,7.014
02-01-2009,6.328
01-01-2009,6.187
12-01-2008,5.26
11-01-2008,7.08
10-01-2008,7.478
09-01-2008,8.617
08-01-2008,8.7
07-01-2008,9.316
06-01-2008,8.713
05-01-2008,8.101
04-01-2008,7.956
03-01-2008,7.938
02-01-2008,7.568
01-01-2008,7.529
12-01-2007,7.791
11-01-2007,7.905
10-01-2007,7.839
09-01-2007,7.925
08-01-2007,7.93
07-01-2007,7.845
06-01-2007,8.187
05-01-2007,8.08
04-01-2007,8.173
03-01-2007,8.022
02-01-2007,8
01-01-2007,7.738
12-01-2006,7.619
11-01-2006,7.424
10-01-2006,7.625
09-01-2006,7.642
08-01-2006,7.891
07-01-2006,8.238
06-01-2006,8.151
05-01-2006,7.659
04-01-2006,7.39
03-01-2006,7.55
02-01-2006,7.393
01-01-2006,7.372
12-01-2005,7.11
11-01-2005,7.083
10-01-2005,7.099
09-01-2005,7.101
08-01-2005,7.094
07-01-2005,6.994
06-01-2005,6.907
05-01-2005,6.979
04-01-2005,7.357
03-01-2005,6.676
02-01-2005,6.549
01-01-2005,6.703
